id,listing_url,name,room_type,minimum_nights,host_id,price,created_at,updated_at
151249,https://www.airbnb.com/rooms/151249,"Quiet, Terrasse, cats, baby equiped",Entire home/apt,10,728298,$80.00,2015-09-14T01:53:15Z,2015-09-14T01:53:15Z
156010,https://www.airbnb.com/rooms/156010,TWO ROOM APARTMENT ALEXANDERPLATZ,Entire home/apt,90,750165,$36.00,2011-06-29T07:42:38Z,2011-06-29T07:42:38Z
157839,https://www.airbnb.com/rooms/157839,1 room in typical berlin-style apt. for dog lovers,Private room,1,671536,$35.00,2011-11-06T15:41:32Z,2011-11-06T15:41:32Z
159454,https://www.airbnb.com/rooms/159454,"Bright, Charming and Modern Altbau",Entire home/apt,2,499725,$161.00,2012-08-13T03:01:39Z,2012-08-13T03:01:39Z
162111,https://www.airbnb.com/rooms/162111,"Sunny, cosy room + holland bicycle!",Private room,5,775103,$42.00,2011-09-09T22:56:05Z,2011-09-09T22:56:05Z
163411,https://www.airbnb.com/rooms/163411,Ample parkside apartment Kreuzberg,Entire home/apt,5,779213,$110.00,2011-12-25T23:13:28Z,2011-12-25T23:13:28Z
164475,https://www.airbnb.com/rooms/164475,Sunny Room in Beautiful Apartment in Kreuzberg,Private room,7,784423,$45.00,2014-02-16T17:28:53Z,2014-02-16T17:28:53Z
168615,https://www.airbnb.com/rooms/168615,STAYINTOWN - Apartment in Berlin,Entire home/apt,2,803717,$49.00,2012-07-03T11:07:07Z,2012-07-03T11:07:07Z
169907,https://www.airbnb.com/rooms/169907,Cozy Berlin nest with great access,Private room,1,809715,$30.00,2015-07-23T05:04:54Z,2015-07-23T05:04:54Z
170652,https://www.airbnb.com/rooms/170652,2-room apartment. Mauerpark TOP!,Private room,5,814026,$50.00,2012-07-18T23:44:41Z,2012-07-18T23:44:41Z
173153,https://www.airbnb.com/rooms/173153,Beautiful flat 95m² in Berlin Mitte,Entire home/apt,2,826546,$80.00,2011-09-08T11:15:18Z,2011-09-08T11:15:18Z
174391,https://www.airbnb.com/rooms/174391,BERLIN The most central!,Private room,1,833209,$42.00,2016-04-25T04:46:58Z,2016-04-25T04:46:58Z
174547,https://www.airbnb.com/rooms/174547,Berlin City Apartment 1with WiFi,Entire home/apt,90,833995,$103.00,2011-11-18T00:14:57Z,2011-11-18T00:14:57Z
174560,https://www.airbnb.com/rooms/174560,"2 apartment in Berlin Center, WiFi",Entire home/apt,60,833995,$78.00,2012-05-14T07:57:47Z,2012-05-14T07:57:47Z
174576,https://www.airbnb.com/rooms/174576,Berlin City Suite 3 mit W-Lan,Entire home/apt,60,833995,$103.00,2012-01-28T06:36:46Z,2012-01-28T06:36:46Z
174579,https://www.airbnb.com/rooms/174579,Berlin City Studio 4 mit W-Lan,Entire home/apt,60,833995,$78.00,2012-01-16T19:46:19Z,2012-01-16T19:46:19Z
175667,https://www.airbnb.com/rooms/175667,"calm, sunny and central apartment",Entire home/apt,180,839532,$39.00,2011-11-09T07:34:08Z,2011-11-09T07:34:08Z
176342,https://www.airbnb.com/rooms/176342,11C Landmark/Checkpoint Charlie/120m2/2BATH/3BR,Entire home/apt,3,843326,$194.00,2013-12-19T08:05:13Z,2013-12-19T08:05:13Z
176355,https://www.airbnb.com/rooms/176355,11A Landmark/Checkpoint Charlie/110m2/2BATH/2BR,Entire home/apt,3,843326,$190.00,2011-12-10T11:31:07Z,2011-12-10T11:31:07Z
176396,https://www.airbnb.com/rooms/176396,Quiet room direct to metro station,Private room,1,843558,$21.00,2016-12-04T10:46:38Z,2016-12-04T10:46:38Z
176852,https://www.airbnb.com/rooms/176852,Big & sunny apartment in Kreuzberg,Entire home/apt,3,845790,$70.00,2015-09-12T04:40:45Z,2015-09-12T04:40:45Z
178347,https://www.airbnb.com/rooms/178347,Design Apartment Berlin Neukölln,Entire home/apt,2,853446,$76.00,2011-10-12T15:54:27Z,2011-10-12T15:54:27Z
179102,https://www.airbnb.com/rooms/179102,"registered, legal hughe penthouse for 1-2 families",Entire home/apt,2,857327,$170.00,2011-12-24T08:22:09Z,2011-12-24T08:22:09Z
180440,https://www.airbnb.com/rooms/180440,CITY STUDIO WEST@ Kurfürstendamm(monthly discount),Entire home/apt,92,864399,$43.00,2012-07-21T16:02:02Z,2012-07-21T16:02:02Z
183988,https://www.airbnb.com/rooms/183988,Luxury Ku'damm Studio +  Bikes 4you,Entire home/apt,2,882801,$78.00,2012-01-04T20:09:51Z,2012-01-04T20:09:51Z
185960,https://www.airbnb.com/rooms/185960,bright and large furnished room,Private room,7,893191,$29.00,2011-08-16T20:40:11Z,2011-08-16T20:40:11Z
186663,https://www.airbnb.com/rooms/186663,Apartment Berlin TW Mexikoplatz,Entire home/apt,122,897302,$90.00,2012-04-10T04:52:10Z,2012-04-10T04:52:10Z
186851,https://www.airbnb.com/rooms/186851,"CasaKaiser, 2 room apartment",Entire home/apt,92,898345,$33.00,2012-05-31T13:42:07Z,2012-05-31T13:42:07Z
188922,https://www.airbnb.com/rooms/188922,Stay in Prenzlauerberg Berlin !,Entire home/apt,28,910884,$45.00,2011-09-24T17:30:16Z,2011-09-24T17:30:16Z
189288,https://www.airbnb.com/rooms/189288,Townhouse Altenescher Weg,Entire home/apt,3,907038,$105.00,2012-04-07T00:29:29Z,2012-04-07T00:29:29Z
189596,https://www.airbnb.com/rooms/189596,Mitte Miniloft apartment w. terrace,Entire home/apt,4,914711,$80.00,2011-09-01T12:18:12Z,2011-09-01T12:18:12Z
190448,https://www.airbnb.com/rooms/190448,Modernes Studioapartment Berlin,Entire home/apt,2,920085,$52.00,2012-06-25T00:40:44Z,2012-06-25T00:40:44Z
191023,https://www.airbnb.com/rooms/191023,2-Room-Apartment in Berlin-Mitte,Private room,1,923408,$55.00,2014-06-19T05:40:57Z,2014-06-19T05:40:57Z
192050,https://www.airbnb.com/rooms/192050,Perfect for 5 + WLAN near (URL HIDDEN),Entire home/apt,183,929861,$48.00,2011-12-27T16:16:42Z,2011-12-27T16:16:42Z
192499,https://www.airbnb.com/rooms/192499,Franks kleines Museum,Private room,2,868282,$46.00,2011-08-11T19:54:42Z,2011-08-11T19:54:42Z
193601,https://www.airbnb.com/rooms/193601,"Well located, cozy 2 rooms apartment, all close by",Entire home/apt,3,939230,$75.00,2021-11-05T21:09:27Z,2021-11-05T21:09:27Z
194374,https://www.airbnb.com/rooms/194374,Cottage in the city with garden,Entire home/apt,3,943996,$65.00,2012-01-05T19:54:30Z,2012-01-05T19:54:30Z
194465,https://www.airbnb.com/rooms/194465,Beautiful Loft-Studio with garden,Entire home/apt,3,944530,$75.00,2011-10-11T12:51:22Z,2011-10-11T12:51:22Z
195413,https://www.airbnb.com/rooms/195413,Residential floor space in Mexicopl,Entire home/apt,183,897302,$230.00,2012-10-28T23:01:47Z,2012-10-28T23:01:47Z
197291,https://www.airbnb.com/rooms/197291,"App. w garden, firepl. a. whirlpool",Entire home/apt,7,1311026,$119.00,2011-08-19T13:08:53Z,2011-08-19T13:08:53Z
197850,https://www.airbnb.com/rooms/197850,Central Location Prenzlauer Berg,Entire home/apt,3,964971,$89.00,2011-09-15T15:37:22Z,2011-09-15T15:37:22Z
198239,https://www.airbnb.com/rooms/198239,Fanstastic Studio Loft in Kreuzberg,Entire home/apt,3,868242,$76.00,2013-06-11T19:38:34Z,2013-06-11T19:38:34Z
198584,https://www.airbnb.com/rooms/198584,"Oriental Style Room, Kudamm / Zoo",Private room,7,969532,$42.00,2015-01-30T18:14:14Z,2015-01-30T18:14:14Z
200125,https://www.airbnb.com/rooms/200125,TOP apartment in art nouveau villa,Entire home/apt,60,977942,$89.00,2021-11-10T21:19:24Z,2021-11-10T21:19:24Z
205296,https://www.airbnb.com/rooms/205296,4* apartment in quiet south Berlin,Entire home/apt,5,1009105,$100.00,2019-08-31T04:26:15Z,2019-08-31T04:26:15Z
206021,https://www.airbnb.com/rooms/206021,"Nice sunny room ,Central area...you",Private room,14,467895,$35.00,2018-06-24T00:17:13Z,2018-06-24T00:17:13Z
206454,https://www.airbnb.com/rooms/206454,Design Apartment in Mitte next to Weinbergspark,Entire home/apt,3,358915,$120.00,2012-04-07T20:06:12Z,2012-04-07T20:06:12Z
207740,https://www.airbnb.com/rooms/207740,Schicke Garten-Maisonette in Kreuzberg,Entire home/apt,7,1022663,$195.00,2017-08-03T23:00:29Z,2017-08-03T23:00:29Z
208495,https://www.airbnb.com/rooms/208495,CENTRAL VINTAGE-MODERN FLAT,Entire home/apt,2,965569,$150.00,2021-11-08T14:47:35Z,2021-11-08T14:47:35Z
209649,https://www.airbnb.com/rooms/209649,Berlin Center – Charlottenburg Wilmersdorf,Private room,7,1033300,$42.00,2011-08-26T20:29:04Z,2011-08-26T20:29:04Z
210734,https://www.airbnb.com/rooms/210734,VERY CENTRAL AND COSY,Entire home/apt,3,1039350,$175.00,2011-09-12T16:29:12Z,2011-09-12T16:29:12Z
212348,https://www.airbnb.com/rooms/212348,3 Zimmer mit Balkon im schönen Friedrichshain,Entire home/apt,2,1095251,$123.00,2019-09-01T03:14:11Z,2019-09-01T03:14:11Z
212470,https://www.airbnb.com/rooms/212470,furnished room in beautiful old app,Private room,5,1095682,$40.00,2018-07-03T15:17:46Z,2018-07-03T15:17:46Z
214491,https://www.airbnb.com/rooms/214491,"enchanting room in the centre,",Private room,3,1107206,$35.00,2011-11-26T21:05:50Z,2011-11-26T21:05:50Z
214518,https://www.airbnb.com/rooms/214518,Chimaysaberlin B&B Front Double Bed,Private room,1,156897,$38.00,2012-09-15T05:40:21Z,2012-09-15T05:40:21Z
220445,https://www.airbnb.com/rooms/220445,Apt. Near Charlottenburg Palace,Entire home/apt,30,1142834,$45.00,2013-04-22T23:40:45Z,2013-04-22T23:40:45Z
221015,https://www.airbnb.com/rooms/221015,clean calm cosy central Berlin Wedding apartment,Entire home/apt,4,1146238,$75.00,2011-09-28T08:33:05Z,2011-09-28T08:33:05Z
222784,https://www.airbnb.com/rooms/222784,"Quiet-central-balcony-WiFi, (min 30 days)",Entire home/apt,30,1156924,$37.00,2011-12-06T18:55:53Z,2011-12-06T18:55:53Z
223622,https://www.airbnb.com/rooms/223622,1 bedroom in Berlin Friedrichshain,Entire home/apt,2,913422,$45.00,2012-12-31T00:29:07Z,2012-12-31T00:29:07Z
226108,https://www.airbnb.com/rooms/226108,Homely flat in the heart of Berlin,Entire home/apt,30,1178780,$70.00,2012-04-29T10:38:23Z,2012-04-29T10:38:23Z
229099,https://www.airbnb.com/rooms/229099,Nice room near airport Berlin BER,Private room,1,1196119,$35.00,2012-01-24T06:12:46Z,2012-01-24T06:12:46Z
229348,https://www.airbnb.com/rooms/229348,Excl. Studio A Mitte/Hansaviertel,Entire home/apt,5,1195177,$79.00,2011-10-20T13:46:14Z,2011-10-20T13:46:14Z
229363,https://www.airbnb.com/rooms/229363,Excl. Studio B Mitte/Hansaviertel,Entire home/apt,5,1195177,$79.00,2012-11-10T13:53:14Z,2012-11-10T13:53:14Z
229776,https://www.airbnb.com/rooms/229776,Cosy room in Mitte / Rosenthaler Platz,Private room,3,956350,$43.00,2011-09-22T21:21:25Z,2011-09-22T21:21:25Z
230411,https://www.airbnb.com/rooms/230411,Wonderful Room in Hip Kreuzberg!!,Private room,3,1204085,$40.00,2011-09-19T07:00:10Z,2011-09-19T07:00:10Z
230611,https://www.airbnb.com/rooms/230611,4 bedroom holiday house Berlin,Entire home/apt,90,1205340,$80.00,2012-10-13T13:14:24Z,2012-10-13T13:14:24Z
233083,https://www.airbnb.com/rooms/233083,2-bed-loft-dwelling designers flat,Entire home/apt,10,1219893,$98.00,2011-12-23T14:54:51Z,2011-12-23T14:54:51Z
233453,https://www.airbnb.com/rooms/233453,Pretty room in Neukölln/Sonnenallee,Private room,2,1221935,$32.00,2011-11-25T03:48:19Z,2011-11-25T03:48:19Z
233770,https://www.airbnb.com/rooms/233770,Holiday apartment in Berlin's Green,Entire home/apt,3,1224097,$59.00,2014-03-01T07:53:52Z,2014-03-01T07:53:52Z
236509,https://www.airbnb.com/rooms/236509,"Berlin City Center, Great Vista",Entire home/apt,120,1240004,$82.00,2011-10-06T09:53:16Z,2011-10-06T09:53:16Z
237372,https://www.airbnb.com/rooms/237372,"Ferien an der Kastanienallee, 2 bedroom",Entire home/apt,3,1244828,$84.00,2012-04-07T23:05:29Z,2012-04-07T23:05:29Z
237670,https://www.airbnb.com/rooms/237670,Apartment Burde 2,Entire home/apt,3,920085,$45.00,2015-10-02T07:25:38Z,2015-10-02T07:25:38Z
238396,https://www.airbnb.com/rooms/238396,"Within the city, calm and leafy",Entire home/apt,3,1250154,$80.00,2011-11-03T13:30:58Z,2011-11-03T13:30:58Z
239139,https://www.airbnb.com/rooms/239139,"Central, Berlin Mitte,  2room, furnished, balcony",Entire home/apt,92,1254352,$47.00,2011-10-26T07:36:01Z,2011-10-26T07:36:01Z
240169,https://www.airbnb.com/rooms/240169,"Berlin, Neukölln, Room B",Private room,3,1259589,$22.00,2016-01-30T02:58:09Z,2016-01-30T02:58:09Z
242794,https://www.airbnb.com/rooms/242794,Elegant renovated apartment 72 m2,Entire home/apt,4,1274606,$110.00,2012-04-10T06:17:11Z,2012-04-10T06:17:11Z
242908,https://www.airbnb.com/rooms/242908,Holiday Apartment in Berlin Wannsee with balcony,Entire home/apt,5,1275359,$75.00,2021-10-24T17:51:46Z,2021-10-24T17:51:46Z
242978,https://www.airbnb.com/rooms/242978,Exclusive one-bedroom apartment,Entire home/apt,2,1275576,$59.00,2012-12-19T05:41:22Z,2012-12-19T05:41:22Z
243057,https://www.airbnb.com/rooms/243057,"rooftop-apartement ""Blueberry Hill""  Berlin center",Entire home/apt,2,1275795,$204.00,2015-03-25T11:22:01Z,2015-03-25T11:22:01Z
243063,https://www.airbnb.com/rooms/243063,Holiday apartment in Berlin Mitte,Entire home/apt,1,1275846,$101.00,2012-06-30T04:25:56Z,2012-06-30T04:25:56Z
243081,https://www.airbnb.com/rooms/243081,"Living with style, apartment 2",Entire home/apt,1,1275846,$101.00,2012-05-06T09:20:55Z,2012-05-06T09:20:55Z
243238,https://www.airbnb.com/rooms/243238,Blue Jewel in Green Borough,Entire home/apt,2,1276585,$68.00,2015-02-12T19:11:29Z,2015-02-12T19:11:29Z
245744,https://www.airbnb.com/rooms/245744,Apartment in central Berlin,Entire home/apt,4,1289259,$149.00,2012-02-07T17:06:37Z,2012-02-07T17:06:37Z
245781,https://www.airbnb.com/rooms/245781,1-room FewWo near Alexanderplatz,Entire home/apt,2,1289393,$70.00,2012-02-19T07:51:30Z,2012-02-19T07:51:30Z
245809,https://www.airbnb.com/rooms/245809,2-bedroom apartment Prenzlauer Berg,Entire home/apt,4,1289393,$90.00,2012-07-01T01:30:17Z,2012-07-01T01:30:17Z
245827,https://www.airbnb.com/rooms/245827,2-bedroom apartment Gendarmenmarkt,Entire home/apt,30,1289393,$93.00,2012-11-07T22:07:23Z,2012-11-07T22:07:23Z
245991,https://www.airbnb.com/rooms/245991,World stroller's club 2,Entire home/apt,30,1290112,$25.00,2013-09-21T15:17:32Z,2013-09-21T15:17:32Z
246007,https://www.airbnb.com/rooms/246007,World stroller's club 1,Entire home/apt,30,1290112,$21.00,2012-09-04T15:10:44Z,2012-09-04T15:10:44Z
248375,https://www.airbnb.com/rooms/248375,Culture and shopping,Private room,1,1301421,$66.00,2012-05-10T19:51:06Z,2012-05-10T19:51:06Z
250007,https://www.airbnb.com/rooms/250007,Exotic holiday apartment in Berlin,Entire home/apt,2,1310272,$59.00,2012-07-22T17:06:30Z,2012-07-22T17:06:30Z
250015,https://www.airbnb.com/rooms/250015,Business Apartment am KaDeWe,Entire home/apt,63,1310277,$70.00,2014-06-08T19:37:36Z,2014-06-08T19:37:36Z
250023,https://www.airbnb.com/rooms/250023,Family- Apartment am KaDeWe 2,Entire home/apt,22,1310277,$51.00,2012-04-20T03:59:25Z,2012-04-20T03:59:25Z
250030,https://www.airbnb.com/rooms/250030,Quiet city centre Studio Apartment,Entire home/apt,90,1310277,$45.00,2012-10-07T16:42:59Z,2012-10-07T16:42:59Z
250121,https://www.airbnb.com/rooms/250121,Cosy single room,Private room,3,1310755,$54.00,2012-06-20T20:54:57Z,2012-06-20T20:54:57Z
250138,https://www.airbnb.com/rooms/250138,Nice double room,Private room,3,1310755,$63.00,2012-01-05T12:00:36Z,2012-01-05T12:00:36Z
250171,https://www.airbnb.com/rooms/250171,Great Double bedroom,Private room,3,1310755,$60.00,2012-07-04T07:40:47Z,2012-07-04T07:40:47Z
250253,https://www.airbnb.com/rooms/250253,Apartment: Luise in Berlin,Entire home/apt,3,1311309,$102.00,2014-06-11T00:27:43Z,2014-06-11T00:27:43Z
250376,https://www.airbnb.com/rooms/250376,Enchanting 142m²(1530 ft²)  Loft/Room in F'Hain,Private room,1,1312190,$200.00,2011-12-26T23:49:48Z,2011-12-26T23:49:48Z
250684,https://www.airbnb.com/rooms/250684,Lovely four bedroom,Private room,3,1310755,$94.00,2012-08-11T16:09:24Z,2012-08-11T16:09:24Z
250687,https://www.airbnb.com/rooms/250687,Apollo Apartments 1,Entire home/apt,3,1310866,$60.00,2012-06-25T11:29:32Z,2012-06-25T11:29:32Z
250704,https://www.airbnb.com/rooms/250704,Holiday Apartment with Garden,Entire home/apt,6,1314462,$62.00,2014-04-14T09:09:23Z,2014-04-14T09:09:23Z
